Protepicyon,Protepicyon raki,14.785,14.785
Paraenhydrocyon,Paraenhydrocyon josephi,22.615000000000002,25.615000000000002
Epicyon,Epicyon saevus,7.6000000000000005,14.785
Enhydrocyon,Enhydrocyon pahinsintewakpa,22.615000000000002,28.55
Canis,Canis adustus,0.00585,3.0940000000000003
Borophagus,Borophagus dudleyi,4.4665,4.4665
Carpocyon,Carpocyon webbi,7.6000000000000005,14.785
Vulpes,Vulpes mathisoni,4.4665,4.4665
Cynodictis,Cynodictis,31.0,52.2
Philotrox,Philotrox condoni,25.615000000000002,28.55
Phlaocyon,Phlaocyon latidens,25.615000000000002,32.05
Protocyon,Protocyon,0.06885,1.29985
Enhydrocyon,Enhydrocyon stenocephalus,25.615000000000002,25.615000000000002
Leptocyon,Leptocyon gregorii,22.615000000000002,22.615000000000002
Metatomarctus,Metatomarctus,14.1815,14.1815
Cuon,Cuon,0.06885,0.4535
Borophagus,Borophagus pugnator,7.6000000000000005,14.1815
Xenocyon,Xenocyon,0.4535,1.6845
Carpocyon,Carpocyon compressus,13.135000000000002,14.785
Borophaginae,Borophaginae,7.6000000000000005,22.615000000000002
Cynarctus,Cynarctus saxatilis,14.785,14.785
Leptocyon,Leptocyon douglassi,25.615000000000002,28.55
Nyctereutes,Nyctereutes abdeslami,3.0940000000000003,3.0940000000000003
Phlaocyon,Phlaocyon taylori,25.615000000000002,27.8
Leptocyon,Leptocyon mollis,25.615000000000002,25.615000000000002
Cynarctus,Cynarctus,11.95,14.785
Archaeocyon,Archaeocyon leptodus,25.615000000000002,32.05
Borophagus,Borophagus diversidens,3.35,3.35
Cormocyon,Cormocyon copei,14.1815,28.55
Otarocyon,Otarocyon cooki,25.615000000000002,28.55
Borophagus,Borophagus,3.35,14.1815
Phlaocyon,Phlaocyon multicuspus,22.615000000000002,22.615000000000002
Phlaocyon,Phlaocyon achoros,22.615000000000002,22.615000000000002
Canis,Canis armbrusteri,0.06885,2.6
Cynarctoides,Cynarctoides luskensis,22.615000000000002,25.615000000000002
Cerdocyon,Cerdocyon texanus,3.35,7.6000000000000005
Leptocyon,Leptocyon vafer,11.95,14.785
Aelurodon,Aelurodon ferox,9.25,14.785
Paratomarctus,Paratomarctus euthos,9.25,14.1815
Urocyon,Urocyon progressus,3.35,3.35
Oxetocyon,Oxetocyon cuspidatus,32.05,32.05
Borophagus,Borophagus secundus,7.6000000000000005,14.1815
Carpocyon,Carpocyon robustus,11.95,14.1815
Urocyon,Urocyon,0.06885,11.95
Neovulpavus,Neovulpavus washakius,43.3,43.3
Aelurodon,Aelurodon mcgrewi,14.1815,14.785
Aelurodon,Aelurodon taxoides,7.6000000000000005,14.1815
Paracynarctus,Paracynarctus sinclairi,14.785,18.2
Eucyon,Eucyon skinneri,11.95,11.95
Urocyon,Urocyon citrinus,3.35,3.35
Metatomarctus,Metatomarctus canavus,14.1815,18.2
Otocyon,Otocyon,0.39635000000000004,3.0940000000000003
Cubacyon,Cubacyon transversidens,1.294,1.294
Cerdocyon,Cerdocyon thous,0.00585,0.063
